train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.027624309,0.82504606,0.06629834,0.08103131
100,1,0.08396947,0.68396944,0.06412214,0.16793893
200,2,0.06428572,0.8,0.08571429,0.05
300,3,0.056239016,0.78734624,0.09666081,0.059753954
400,4,0.04621072,0.8280961,0.06654344,0.059149724
500,5,0.0734767,0.8028674,0.059139784,0.06451613
600,6,0.054249547,0.8101266,0.081374325,0.054249547
700,7,0.047348484,0.8484849,0.05871212,0.045454547
800,8,0.05253623,0.8115942,0.083333336,0.05253623
900,9,0.0704698,0.7516779,0.110738255,0.06711409
1000,10,0.06272402,0.8028674,0.06989247,0.06451613
1100,11,0.036563072,0.8190128,0.07129799,0.073126145
1200,12,0.03731343,0.8358209,0.09141791,0.03544776
1300,13,0.025974026,0.83116883,0.07977737,0.063079774
1400,14,0.03345725,0.8327138,0.063197024,0.07063197
1500,15,0.013409962,0.85823756,0.0651341,0.06321839
1600,16,0.034358047,0.8101266,0.09041591,0.065099455
1700,17,0.02962963,0.8296296,0.094444446,0.046296295
1800,18,0.049541283,0.8220183,0.06788991,0.06055046
