train_step,log_step_index,expert_0,expert_1
0,0,1.0,0.0
100,1,1.0,0.0
200,2,1.0,0.0
300,3,1.0,0.0
400,4,1.0,0.0
500,5,1.0,0.0
600,6,1.0,0.0
700,7,1.0,0.0
800,8,1.0,0.0
900,9,1.0,0.0
1000,10,1.0,0.0
1100,11,1.0,0.0
1200,12,1.0,0.0
1300,13,1.0,0.0
1400,14,1.0,0.0
1500,15,1.0,0.0
1600,16,1.0,0.0
1700,17,1.0,0.0
1800,18,1.0,0.0
